Service Domain ID,Service Domain Name,Focus Object,Applicability,Primary Control Record Candidate,Rationale,Stateful,Business Object Available,Service Operations Available,Business Events Available,Scenarios Available,Recommended Action,Review Status
RAIA-SD-041,"Seguridad de la Información","Objeto de Seguridad de la Información",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-042,"Auditoría Interna","Objeto de Auditoría Interna",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-043,"Gestión de Incidentes Mayores","Objeto de Gestión de Incidentes Mayores",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-044,"Pruebas de Resiliencia Operacional","Objeto de Pruebas de Resiliencia Operacional",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-020,"Datos del Trabajador","Objeto de Datos del Trabajador",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-047,"Datos de Beneficiarios","Objeto de Datos de Beneficiarios",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-048,"Datos del Patrón","Objeto de Datos del Patrón",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-049,"Datos de Dependencias Públicas","Objeto de Datos de Dependencias Públicas",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-050,"Directorio de Participantes del SAR","Objeto de Directorio de Participantes del SAR",reference-information,No,"Mantiene datos de referencia estáticos o parámetros regulados sectoriales.",No,Yes,Yes,Yes,Yes,MARK_REFERENCE,validated
RAIA-SD-051,"Gestión de Contacto y Domicilio","Objeto de Gestión de Contacto y Domicilio",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-052,"Gestión de Relaciones entre Partes","Objeto de Gestión de Relaciones entre Partes",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-021,"Resolución de Identidad","Objeto de Resolución de Identidad",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-053,"Gestión de CURP, NSS y RFC","Objeto de Gestión de CURP, NSS y RFC",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-023,"Identidad Biométrica","Objeto de Identidad Biométrica",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-054,"Autenticación del Trabajador","Objeto de Autenticación del Trabajador",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-055,"Gestión de Derechos de Acceso","Objeto de Gestión de Derechos de Acceso",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-056,"Gestión de Consentimiento","Objeto de Gestión de Consentimiento",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-057,"Prueba de Vida","Objeto de Prueba de Vida",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-058,"Gestión de Representación Legal","Objeto de Gestión de Representación Legal",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-031,"Expediente Electrónico","Objeto de Expediente Electrónico",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-059,"Gestión Documental","Objeto de Gestión Documental",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-060,"Evidencia Digital","Objeto de Evidencia Digital",supporting-control-record,No,"Monitorea o resguarda información auxiliar de control para trazabilidad de auditoría.",Yes,Yes,Yes,Yes,Yes,LINK_EXISTING,validated
RAIA-SD-061,"Firma Electrónica y No Repudio","Objeto de Firma Electrónica y No Repudio",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-062,"Conservación de Registros","Objeto de Conservación de Registros",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-063,"Corrección de Datos","Objeto de Corrección de Datos",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-064,"Trazabilidad y Bitácora de Auditoría","Objeto de Trazabilidad y Bitácora de Auditoría",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-065,"Localización de Cuenta","Objeto de Localización de Cuenta",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-040,"Registro en AFORE","Objeto de Registro en AFORE",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-066,"Asignación de Cuenta","Objeto de Asignación de Cuenta",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-067,"Reasignación de Cuenta","Objeto de Reasignación de Cuenta",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-068,"Recertificación de Cuenta","Objeto de Recertificación de Cuenta",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-069,"Activación de Cuenta","Objeto de Activación de Cuenta",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-070,"Gestión de Afiliación","Objeto de Gestión de Afiliación",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-045,"Traspaso de Cuenta","Solicitud de Traspaso",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-071,"Cancelación de Traspaso","Objeto de Cancelación de Traspaso",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-072,"Unificación de Cuentas","Objeto de Unificación de Cuentas",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-073,"Separación de Cuentas","Objeto de Separación de Cuentas",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-074,"Inactivación de Cuenta","Objeto de Inactivación de Cuenta",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-075,"Registro de Fallecimiento","Objeto de Registro de Fallecimiento",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-076,"Recuperación de Cuenta","Objeto de Recuperación de Cuenta",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-077,"Regularización de Cuenta","Objeto de Regularización de Cuenta",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-046,"Libro Mayor de Cuenta Individual","Objeto de Libro Mayor de Cuenta Individual",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-078,"Administración de Subcuentas","Objeto de Administración de Subcuentas",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-079,"Gestión de Saldos","Objeto de Gestión de Saldos",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-080,"Registro de Movimientos","Objeto de Registro de Movimientos",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-081,"Asignación de Acciones","Objeto de Asignación de Acciones",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-082,"Asignación de Rendimientos","Objeto de Asignación de Rendimientos",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-083,"Cálculo y Aplicación de Comisiones","Objeto de Cálculo y Aplicación de Comisiones",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-084,"Ajustes de Cuenta","Objeto de Ajustes de Cuenta",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-085,"Estado de Cuenta","Objeto de Estado de Cuenta",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-086,"Historial Transaccional","Objeto de Historial Transaccional",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-087,"Recursos SAR Legacy","Objeto de Recursos SAR Legacy",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-088,"Conciliación de Cuenta Individual","Objeto de Conciliación de Cuenta Individual",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-089,"Determinación de Aportaciones","Objeto de Determinación de Aportaciones",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-090,"Recaudación de Aportaciones Patronales","Objeto de Recaudación de Aportaciones Patronales",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-091,"Recaudación de Aportaciones Gubernamentales","Objeto de Recaudación de Aportaciones Gubernamentales",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-092,"Registro de Aportaciones de Vivienda","Objeto de Registro de Aportaciones de Vivienda",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-093,"Cuota Social","Objeto de Cuota Social",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-094,"Gestión de Aportaciones Omitidas","Objeto de Gestión de Aportaciones Omitidas",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-095,"Gestión de Morosidad de Aportaciones","Objeto de Gestión de Morosidad de Aportaciones",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-096,"Aportaciones Voluntarias","Objeto de Aportaciones Voluntarias",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-097,"Aportaciones Complementarias","Objeto de Aportaciones Complementarias",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-098,"Ahorro de Largo Plazo","Objeto de Ahorro de Largo Plazo",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-099,"Ahorro Solidario","Objeto de Ahorro Solidario",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-100,"Aportaciones de Trabajadores Independientes","Objeto de Aportaciones de Trabajadores Independientes",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-101,"Aportaciones Voluntarias vía Nómina","Objeto de Aportaciones Voluntarias vía Nómina",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-102,"Domiciliación de Ahorro Voluntario","Objeto de Domiciliación de Ahorro Voluntario",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-103,"Individualización de Aportaciones","Objeto de Individualización de Aportaciones",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-104,"Resolución de Pagos No Identificados","Objeto de Resolución de Pagos No Identificados",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-105,"Conciliación de Recaudación","Objeto de Conciliación de Recaudación",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-106,"Corrección de Aportaciones","Objeto de Corrección de Aportaciones",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-107,"Transferencia de Aportaciones","Objeto de Transferencia de Aportaciones",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-108,"Devolución de Aportaciones","Objeto de Devolución de Aportaciones",primary-control-record,Yes,"Administra una transacción u objeto lógico de negocio crítico con estados definidos por ley.",Yes,Yes,Yes,Yes,Yes,CREATE,validated
RAIA-SD-109,"Aclaración de Diferencias de Recaudación","Objeto de Aclaración de Diferencias de Recaudación",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-110,"Asignación a SIEFORE Generacional","Objeto de Asignación a SIEFORE Generacional",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-111,"Estrategia de Inversión","Objeto de Estrategia de Inversión",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-112,"Construcción de Portafolio","Objeto de Construcción de Portafolio",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-113,"Gestión de Mandatos de Inversión","Objeto de Gestión de Mandatos de Inversión",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-114,"Gestión de Benchmark","Objeto de Gestión de Benchmark",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
RAIA-SD-115,"Gestión de Clases de Activos","Objeto de Gestión de Clases de Activos",stateless-capability,No,"El Service Domain ejecuta validaciones o consultas operativas sin persistir un ciclo de vida propio.",No,Yes,Yes,Yes,Yes,MARK_STATELESS,validated
