Service Domain ID,Business Area,Business Domain,Name,Landscape Layer,Capability Type,Focus Object,Accountable Participant,Applicable Regimes,Regulatory Criticality,Regulatory Sources,Articles,Coverage Status,Semantic Status,Recommended Action,Proposed Replacement or Split,Reviewer
RAIA-SD-011,Gobierno y Dirección del SAR,Regulación y Autorizaciones,Gestión Regulatoria de Comisiones,sector-governance,regulated-core,Objeto de Gestión Regulatoria de Comisiones,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-012,Gobierno y Dirección del SAR,Regulación y Autorizaciones,Gestión de Criterios y Consultas Normativas,sector-governance,regulated-core,Objeto de Gestión de Criterios y Consultas Normativas,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-013,Gobierno y Dirección del SAR,Gobierno y Desempeño,Gobierno Corporativo,sector-governance,regulated-core,Objeto de Gobierno Corporativo,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-014,Gobierno y Dirección del SAR,Gobierno y Desempeño,Gestión de Portafolio de Industria,sector-governance,regulated-core,Objeto de Gestión de Portafolio de Industria,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-015,Gobierno y Dirección del SAR,Gobierno y Desempeño,Gestión de Beneficios,sector-governance,regulated-core,Objeto de Gestión de Beneficios,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-016,Gobierno y Dirección del SAR,Gobierno y Desempeño,Métricas del Sistema,sector-governance,regulated-core,Objeto de Métricas del Sistema,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-017,Gobierno y Dirección del SAR,Gobierno y Desempeño,Transparencia Sectorial,sector-governance,regulated-core,Objeto de Transparencia Sectorial,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-018,Gobierno y Dirección del SAR,Gobierno y Desempeño,Gestión de Stakeholders del SAR,sector-governance,regulated-core,Objeto de Gestión de Stakeholders del SAR,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-019,"Riesgo, Cumplimiento y Supervisión",Supervisión y Control Regulatorio,Supervisión Regulatoria,sector-governance,regulated-core,Objeto de Supervisión Regulatoria,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,RAIA-REG-LSAR,Art. 90,unmapped,proposed,KEEP,N/A,source-verified
RAIA-SD-022,"Riesgo, Cumplimiento y Supervisión",Supervisión y Control Regulatorio,Inspección Regulatoria,sector-governance,regulated-core,Objeto de Inspección Regulatoria,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-024,"Riesgo, Cumplimiento y Supervisión",Supervisión y Control Regulatorio,Información Regulatoria,sector-governance,regulated-core,Objeto de Información Regulatoria,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-025,"Riesgo, Cumplimiento y Supervisión",Supervisión y Control Regulatorio,Atención de Requerimientos Regulatorios,sector-governance,regulated-core,Objeto de Atención de Requerimientos Regulatorios,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-026,"Riesgo, Cumplimiento y Supervisión",Supervisión y Control Regulatorio,Programas Correctivos,sector-governance,regulated-core,Objeto de Programas Correctivos,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-027,"Riesgo, Cumplimiento y Supervisión",Supervisión y Control Regulatorio,Gestión de Sanciones,sector-governance,regulated-core,Objeto de Gestión de Sanciones,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-028,"Riesgo, Cumplimiento y Supervisión",Supervisión y Control Regulatorio,Seguimiento de Hallazgos,sector-governance,regulated-core,Objeto de Seguimiento de Hallazgos,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-029,"Riesgo, Cumplimiento y Supervisión",Riesgo y Cumplimiento,Gestión de Riesgo Empresarial,sector-governance,regulated-core,Objeto de Gestión de Riesgo Empresarial,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-030,"Riesgo, Cumplimiento y Supervisión",Riesgo y Cumplimiento,Gestión de Riesgo Operacional,sector-governance,regulated-core,Objeto de Gestión de Riesgo Operacional,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-032,"Riesgo, Cumplimiento y Supervisión",Riesgo y Cumplimiento,Cumplimiento Normativo,sector-governance,regulated-core,Objeto de Cumplimiento Normativo,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-033,"Riesgo, Cumplimiento y Supervisión",Riesgo y Cumplimiento,Prevención de Lavado de Dinero y Financiamiento al Terrorismo,sector-governance,regulated-core,Objeto de Prevención de Lavado de Dinero y Financiamiento al Terrorismo,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-034,"Riesgo, Cumplimiento y Supervisión",Riesgo y Cumplimiento,Prevención y Gestión de Fraude,sector-governance,regulated-core,Objeto de Prevención y Gestión de Fraude,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-035,"Riesgo, Cumplimiento y Supervisión",Riesgo y Cumplimiento,Gestión de Riesgo de Terceros,sector-governance,regulated-core,Objeto de Gestión de Riesgo de Terceros,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-036,"Riesgo, Cumplimiento y Supervisión",Riesgo y Cumplimiento,Gestión de Conflictos de Interés,sector-governance,regulated-core,Objeto de Gestión de Conflictos de Interés,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-037,"Riesgo, Cumplimiento y Supervisión",Resiliencia y Aseguramiento,Continuidad de Negocio,sector-governance,regulated-core,Objeto de Continuidad de Negocio,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-038,"Riesgo, Cumplimiento y Supervisión",Resiliencia y Aseguramiento,Recuperación ante Desastres,sector-governance,regulated-core,Objeto de Recuperación ante Desastres,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-039,"Riesgo, Cumplimiento y Supervisión",Resiliencia y Aseguramiento,Ciberseguridad,sector-governance,regulated-core,Objeto de Ciberseguridad,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-041,"Riesgo, Cumplimiento y Supervisión",Resiliencia y Aseguramiento,Seguridad de la Información,sector-governance,regulated-core,Objeto de Seguridad de la Información,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,high,N/A,N/A,reviewed,aligned,ENRICH,N/A,source-verified
RAIA-SD-042,"Riesgo, Cumplimiento y Supervisión",Resiliencia y Aseguramiento,Auditoría Interna,sector-governance,regulated-core,Objeto de Auditoría Interna,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-043,"Riesgo, Cumplimiento y Supervisión",Resiliencia y Aseguramiento,Gestión de Incidentes Mayores,sector-governance,regulated-core,Objeto de Gestión de Incidentes Mayores,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-044,"Riesgo, Cumplimiento y Supervisión",Resiliencia y Aseguramiento,Pruebas de Resiliencia Operacional,sector-governance,regulated-core,Objeto de Pruebas de Resiliencia Operacional,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-020,"Identidad, Partes y Expediente",Datos de Personas y Organizaciones,Datos del Trabajador,industry-value-stream,regulated-core,Objeto de Datos del Trabajador,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-047,"Identidad, Partes y Expediente",Datos de Personas y Organizaciones,Datos de Beneficiarios,industry-value-stream,regulated-core,Objeto de Datos de Beneficiarios,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-048,"Identidad, Partes y Expediente",Datos de Personas y Organizaciones,Datos del Patrón,industry-value-stream,regulated-core,Objeto de Datos del Patrón,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-049,"Identidad, Partes y Expediente",Datos de Personas y Organizaciones,Datos de Dependencias Públicas,industry-value-stream,regulated-core,Objeto de Datos de Dependencias Públicas,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-050,"Identidad, Partes y Expediente",Datos de Personas y Organizaciones,Directorio de Participantes del SAR,industry-value-stream,regulated-core,Objeto de Directorio de Participantes del SAR,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-051,"Identidad, Partes y Expediente",Datos de Personas y Organizaciones,Gestión de Contacto y Domicilio,industry-value-stream,regulated-core,Objeto de Gestión de Contacto y Domicilio,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-052,"Identidad, Partes y Expediente",Datos de Personas y Organizaciones,Gestión de Relaciones entre Partes,industry-value-stream,regulated-core,Objeto de Gestión de Relaciones entre Partes,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-021,"Identidad, Partes y Expediente","Identidad, Autenticación y Consentimiento",Resolución de Identidad,industry-value-stream,regulated-core,Objeto de Resolución de Identidad,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-053,"Identidad, Partes y Expediente","Identidad, Autenticación y Consentimiento","Gestión de CURP, NSS y RFC",industry-value-stream,regulated-core,"Objeto de Gestión de CURP, NSS y RFC",ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-023,"Identidad, Partes y Expediente","Identidad, Autenticación y Consentimiento",Identidad Biométrica,industry-value-stream,regulated-core,Objeto de Identidad Biométrica,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,RAIA-REG-CONSAR-OP,Art. 22;Art. 85,unmapped,proposed,KEEP,N/A,source-verified
RAIA-SD-054,"Identidad, Partes y Expediente","Identidad, Autenticación y Consentimiento",Autenticación del Trabajador,industry-value-stream,regulated-core,Objeto de Autenticación del Trabajador,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-055,"Identidad, Partes y Expediente","Identidad, Autenticación y Consentimiento",Gestión de Derechos de Acceso,industry-value-stream,regulated-core,Objeto de Gestión de Derechos de Acceso,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-056,"Identidad, Partes y Expediente","Identidad, Autenticación y Consentimiento",Gestión de Consentimiento,industry-value-stream,regulated-core,Objeto de Gestión de Consentimiento,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-057,"Identidad, Partes y Expediente","Identidad, Autenticación y Consentimiento",Prueba de Vida,industry-value-stream,regulated-core,Objeto de Prueba de Vida,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-058,"Identidad, Partes y Expediente","Identidad, Autenticación y Consentimiento",Gestión de Representación Legal,industry-value-stream,regulated-core,Objeto de Gestión de Representación Legal,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-031,"Identidad, Partes y Expediente",Expediente y Evidencia,Expediente Electrónico,industry-value-stream,regulated-core,Objeto de Expediente Electrónico,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,RAIA-REG-CONSAR-OP,Art. 15,unmapped,proposed,KEEP,N/A,source-verified
RAIA-SD-059,"Identidad, Partes y Expediente",Expediente y Evidencia,Gestión Documental,industry-value-stream,regulated-core,Objeto de Gestión Documental,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-060,"Identidad, Partes y Expediente",Expediente y Evidencia,Evidencia Digital,industry-value-stream,regulated-core,Objeto de Evidencia Digital,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-061,"Identidad, Partes y Expediente",Expediente y Evidencia,Firma Electrónica y No Repudio,industry-value-stream,regulated-core,Objeto de Firma Electrónica y No Repudio,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-062,"Identidad, Partes y Expediente",Expediente y Evidencia,Conservación de Registros,industry-value-stream,regulated-core,Objeto de Conservación de Registros,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-063,"Identidad, Partes y Expediente",Expediente y Evidencia,Corrección de Datos,industry-value-stream,regulated-core,Objeto de Corrección de Datos,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-064,"Identidad, Partes y Expediente",Expediente y Evidencia,Trazabilidad y Bitácora de Auditoría,industry-value-stream,regulated-core,Objeto de Trazabilidad y Bitácora de Auditoría,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-065,Afiliación y Cuenta Individual,Incorporación y Afiliación,Localización de Cuenta,industry-value-stream,regulated-core,Objeto de Localización de Cuenta,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-040,Afiliación y Cuenta Individual,Incorporación y Afiliación,Registro en AFORE,industry-value-stream,regulated-core,Objeto de Registro en AFORE,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-066,Afiliación y Cuenta Individual,Incorporación y Afiliación,Asignación de Cuenta,industry-value-stream,regulated-core,Objeto de Asignación de Cuenta,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-067,Afiliación y Cuenta Individual,Incorporación y Afiliación,Reasignación de Cuenta,industry-value-stream,regulated-core,Objeto de Reasignación de Cuenta,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-068,Afiliación y Cuenta Individual,Incorporación y Afiliación,Recertificación de Cuenta,industry-value-stream,regulated-core,Objeto de Recertificación de Cuenta,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-069,Afiliación y Cuenta Individual,Incorporación y Afiliación,Activación de Cuenta,industry-value-stream,regulated-core,Objeto de Activación de Cuenta,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-070,Afiliación y Cuenta Individual,Incorporación y Afiliación,Gestión de Afiliación,industry-value-stream,regulated-core,Objeto de Gestión de Afiliación,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-045,Afiliación y Cuenta Individual,Traspaso y Regularización,Traspaso de Cuenta,industry-value-stream,regulated-core,Solicitud de Traspaso,ACT-AFORE,LSS97;ISSSTE2007,medium,RAIA-REG-LSAR,Art. 74,unmapped,proposed,KEEP,N/A,source-verified
RAIA-SD-071,Afiliación y Cuenta Individual,Traspaso y Regularización,Cancelación de Traspaso,industry-value-stream,regulated-core,Objeto de Cancelación de Traspaso,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-072,Afiliación y Cuenta Individual,Traspaso y Regularización,Unificación de Cuentas,industry-value-stream,regulated-core,Objeto de Unificación de Cuentas,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,high,N/A,N/A,reviewed,aligned,ENRICH,N/A,source-verified
RAIA-SD-073,Afiliación y Cuenta Individual,Traspaso y Regularización,Separación de Cuentas,industry-value-stream,regulated-core,Objeto de Separación de Cuentas,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-074,Afiliación y Cuenta Individual,Traspaso y Regularización,Inactivación de Cuenta,industry-value-stream,regulated-core,Objeto de Inactivación de Cuenta,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-075,Afiliación y Cuenta Individual,Traspaso y Regularización,Registro de Fallecimiento,industry-value-stream,regulated-core,Objeto de Registro de Fallecimiento,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-076,Afiliación y Cuenta Individual,Traspaso y Regularización,Recuperación de Cuenta,industry-value-stream,regulated-core,Objeto de Recuperación de Cuenta,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,high,N/A,N/A,reviewed,aligned,ENRICH,N/A,source-verified
RAIA-SD-077,Afiliación y Cuenta Individual,Traspaso y Regularización,Regularización de Cuenta,industry-value-stream,regulated-core,Objeto de Regularización de Cuenta,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-046,Afiliación y Cuenta Individual,Administración de Cuenta Individual,Libro Mayor de Cuenta Individual,industry-value-stream,regulated-core,Objeto de Libro Mayor de Cuenta Individual,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-078,Afiliación y Cuenta Individual,Administración de Cuenta Individual,Administración de Subcuentas,industry-value-stream,regulated-core,Objeto de Administración de Subcuentas,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-079,Afiliación y Cuenta Individual,Administración de Cuenta Individual,Gestión de Saldos,industry-value-stream,regulated-core,Objeto de Gestión de Saldos,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-080,Afiliación y Cuenta Individual,Administración de Cuenta Individual,Registro de Movimientos,industry-value-stream,regulated-core,Objeto de Registro de Movimientos,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-081,Afiliación y Cuenta Individual,Administración de Cuenta Individual,Asignación de Acciones,industry-value-stream,regulated-core,Objeto de Asignación de Acciones,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-082,Afiliación y Cuenta Individual,Administración de Cuenta Individual,Asignación de Rendimientos,industry-value-stream,regulated-core,Objeto de Asignación de Rendimientos,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-083,Afiliación y Cuenta Individual,Administración de Cuenta Individual,Cálculo y Aplicación de Comisiones,industry-value-stream,regulated-core,Objeto de Cálculo y Aplicación de Comisiones,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-084,Afiliación y Cuenta Individual,Administración de Cuenta Individual,Ajustes de Cuenta,industry-value-stream,regulated-core,Objeto de Ajustes de Cuenta,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-085,Afiliación y Cuenta Individual,Administración de Cuenta Individual,Estado de Cuenta,industry-value-stream,regulated-core,Objeto de Estado de Cuenta,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-086,Afiliación y Cuenta Individual,Administración de Cuenta Individual,Historial Transaccional,industry-value-stream,regulated-core,Objeto de Historial Transaccional,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-087,Afiliación y Cuenta Individual,Administración de Cuenta Individual,Recursos SAR Legacy,industry-value-stream,regulated-core,Objeto de Recursos SAR Legacy,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-088,Afiliación y Cuenta Individual,Administración de Cuenta Individual,Conciliación de Cuenta Individual,industry-value-stream,regulated-core,Objeto de Conciliación de Cuenta Individual,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-089,Recaudación y Aportaciones,Recaudación Obligatoria,Determinación de Aportaciones,industry-value-stream,regulated-core,Objeto de Determinación de Aportaciones,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
RAIA-SD-090,Recaudación y Aportaciones,Recaudación Obligatoria,Recaudación de Aportaciones Patronales,industry-value-stream,regulated-core,Objeto de Recaudación de Aportaciones Patronales,ACT-AFORE;ACT-OPERATOR,LSS97;ISSSTE2007,medium,N/A,N/A,unmapped,proposed,ENRICH,N/A,source-verified
